Institution Name,Branch Name,Established Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits
JPMorgan Chase Bank,Eldorado and 75 Branch,10/15/2003,2091 Eldorado Parkway,Mckinney,Collin,TX,75070,33.172129999999996,-96.64298000000001,25171.0,22328.0,26614.0,31955.0
JPMorgan Chase Bank,Cross Timbers and Morriss Branch,09/17/1998,2211 Cross Timbers Road,Flower Mound,Denton,TX,75028,33.0344,-97.06262,42335.0,46336.0,51577.0,56729.0
JPMorgan Chase Bank,Buckeye Branch,11/15/1954,402 Monroe Avenue,Buckeye,Maricopa,AZ,85326,33.37048,-112.58601000000002,77689.0,78517.0,84900.0,86839.0
JPMorgan Chase Bank,Slaughter and Mopac Bkg. Ctr. Branch,12/29/2005,5700 West Slaughter Lane,Austin,Travis,TX,78749,30.201240000000002,-97.86795,32222.0,30443.0,36954.0,47837.0
JPMorgan Chase Bank,Kenmore Branch,01/01/1953,6701 Ne 181st Street,Kenmore,King,WA,98028,47.75956,-122.25112,63469.0,63090.0,69330.0,67967.0
JPMorgan Chase Bank,Cottle and Raleigh Branch,10/17/2005,"5640 Cottle Rd, Ste 10",San Jose,Santa Clara,CA,95123,37.24986,-121.80388,12143.0,13151.0,16086.0,17504.0
JPMorgan Chase Bank,St. Charles/Randall Facility Branch,09/08/1982,575 South Randall Road,St. Charles,Kane,IL,60174,41.90406,-88.34008,157630.0,157144.0,180229.0,203103.0
JPMorgan Chase Bank,Wedgwood Branch,11/04/1974,"7512 35th Avenue, N.E.",Seattle,King,WA,98115,47.68407,-122.29042,83433.0,79212.0,78562.0,79265.0
JPMorgan Chase Bank,Westchase Drive-Up Branch,07/01/2003,2805 Elmside,Houston,Harris,TX,77002,29.755979999999997,-95.36766,0.0,0.0,0.0,0.0
JPMorgan Chase Bank,Pittsford Village Branch,09/28/1972,31 State Street,Pittsford,Monroe,NY,14534,43.090140000000005,-77.51318,88164.0,97450.0,114239.0,130397.0
JPMorgan Chase Bank,Woodlands Branch,06/30/1993,4041 S 700 East #3,Salt Lake City,Salt Lake,UT,84107,40.68416,-111.87141000000001,21229.0,18316.0,21977.0,23769.0
JPMorgan Chase Bank,Bethel Sawmill Banking Ctr. Branch,09/15/1991,4810 Sawmill Road,Columbus,Franklin,OH,43235,40.06714,-83.09303,33091.0,39814.0,48125.0,54295.0
JPMorgan Chase Bank,Canal Winchester Branch,06/01/1977,8 South High Street,Canal Winchester,Franklin,OH,43110,39.8426,-82.80566999999999,37579.0,39181.0,41573.0,43968.0
JPMorgan Chase Bank,Chicago Trust Branch,07/01/2003,3 Bank One Plaza,Chicago,Cook,IL,60670,41.88132,-87.67087,821992.0,996863.0,1102509.0,9461.0
JPMorgan Chase Bank,Salmon Creek Fm Branch,10/21/1998,"800 Ne Tenney Rd, Suite A",Vancouver,Clark,WA,98685,45.72135,-122.66553,32882.0,35856.0,39323.0,40072.0
JPMorgan Chase Bank,East Farmingdale Branch,04/28/1971,1745 Broad Hollow Road,East Farmingdale,Suffolk,NY,11735,40.74442,-73.42264,62842.0,95038.0,89987.0,122210.0
JPMorgan Chase Bank,Dover Main Branch,04/01/1867,301 West Third Street,Dover,Tuscarawas,OH,44622,40.52022,-81.47955,68755.0,77390.0,79757.0,81475.0
JPMorgan Chase Bank,Andersonville Banking Center Branch,07/29/2004,5134 North Clark Street,Chicago,Cook,IL,60640,41.9755,-87.66837,33181.0,34558.0,39556.0,42879.0
JPMorgan Chase Bank,West Market Warren Branch,09/23/1957,1160 West Market Street,Warren,Trumbull,OH,44485,41.23411,-80.8339,14595.0,14475.0,15258.0,16784.0
JPMorgan Chase Bank,North Bank Branch,05/03/1979,"210 North Grand Avenue, West",Springfield,Sangamon,IL,62702,39.8161,-89.65593,25595.0,27099.0,29281.0,33472.0
JPMorgan Chase Bank,Gracie Square Branch,02/01/1938,453 East 86th Street,New York City,New York,NY,10028,40.77643,-73.94813,199955.0,201831.0,226978.0,249119.0
JPMorgan Chase Bank,Federal Branch,08/10/1937,901 South Federal Highway,Boynton Beach,Palm Beach,FL,33435,26.520059999999997,-80.05816999999999,39031.0,40196.0,43947.0,45521.0
JPMorgan Chase Bank,The Plant Branch,05/01/2008,"2199 Monterey Highway, Suite 30",San Jose,Santa Clara,CA,95125,37.30362,-121.86138999999999,9139.0,13781.0,19721.0,24453.0
JPMorgan Chase Bank,Snellville - Killian Hill Branch,01/06/2003,4081 Stone Mountain Hwy,Lilburn,Gwinnett,GA,30047,33.83675,-84.07128,14653.0,16554.0,19599.0,22816.0
JPMorgan Chase Bank,Cobble Hill Banking Center Branch,11/28/2006,101 Court Street,Brooklyn,Kings,NY,11201,40.69096,-73.99168,26787.0,33991.0,43889.0,52116.0
JPMorgan Chase Bank,Champions Branch,04/15/1983,13202 Cutten Road,Houston,Harris,TX,77069,29.969690000000003,-95.53134,178433.0,186097.0,211434.0,232536.0
JPMorgan Chase Bank,Downtown Mini Branch,06/08/1992,613 Virginia St. East,Charleston,Kanawha,WV,25301,38.350429999999996,-81.63753,0.0,0.0,0.0,0.0
JPMorgan Chase Bank,Clifton Van Houten Branch,10/14/1987,963 Van Houten Avenue,Clifton,Passaic,NJ,7013,40.86506,-74.16056,56476.0,55505.0,64738.0,74177.0
JPMorgan Chase Bank,Mamaroneck Branch,03/01/1935,242 Mamaroneck Avenue,Mamaroneck,Westchester,NY,10543,40.950520000000004,-73.7341,66929.0,73181.0,84670.0,94111.0
JPMorgan Chase Bank,Clocktower Branch,02/15/1967,"6261 Kalamazoo Avenue, S.E.",Grand Rapids,Kent,MI,49508,42.85029,-85.62483,80359.0,119937.0,140995.0,136512.0
JPMorgan Chase Bank,Davis Branch,01/01/1924,330 E Street,Davis,Yolo,CA,95616,38.5455,-121.74168,100575.0,105367.0,126451.0,145905.0
JPMorgan Chase Bank,Columbiana Branch,05/12/1923,35 North Main Street,Columbiana,Columbiana,OH,44408,40.88917,-80.69364,19051.0,20913.0,25036.0,26687.0
JPMorgan Chase Bank,East 39th South Branch,11/19/1973,1285 East 3900 South,Salt Lake City,Salt Lake,UT,84124,40.687090000000005,-111.85458999999999,43848.0,42578.0,44405.0,49700.0
JPMorgan Chase Bank,Mendocino Avenue Branch,12/27/1988,2245 Mendocino Avenue,Santa Rosa,Sonoma,CA,95403,38.46253,-122.71795,57737.0,60561.0,61602.0,72021.0
JPMorgan Chase Bank,South Pacific Ave and 10th Branch,05/05/1965,1001 South Pacific Avenue,San Pedro,Los Angeles,CA,90731,33.7348,-118.28793999999999,178414.0,174451.0,176473.0,173675.0
JPMorgan Chase Bank,San Jose - Bernal Branch,12/13/2004,109 Bernal Rd,San Jose,Santa Clara,CA,95119,37.23106,-121.77315,29874.0,31750.0,35102.0,37557.0
JPMorgan Chase Bank,Richmond Main Branch,07/13/1863,630 E Main St,Richmond,Wayne,IN,47374,39.82905,-84.89316,64526.0,65859.0,72964.0,71105.0
JPMorgan Chase Bank,Empire Boulevard Branch,01/01/1800,1000 Nostrand Avenue,Brooklyn,Kings,NY,11225,40.66417,-73.95098,70312.0,68610.0,81205.0,92524.0
JPMorgan Chase Bank,Rt 59 and 135th St Branch,10/15/2008,13661 S Rt 59,Plainfield,Will,IL,60544,41.63827,-88.20286,12836.0,18456.0,27939.0,33263.0
JPMorgan Chase Bank,Southern Blvd Branch,07/24/2006,1051 Westchester Avenue,Bronx,Bronx,NY,10459,40.82452,-73.89234,9943.0,14406.0,16316.0,19037.0
JPMorgan Chase Bank,Jackson Street - Monroe Branch,09/25/1951,603 Jackson Street,Monroe,Ouachita,LA,71201,32.498000000000005,-92.11383000000001,233786.0,232017.0,199572.0,197298.0
JPMorgan Chase Bank,Easton Employee Center Banking Center Branch,03/31/2005,3415 Vision Drive,Columbus,Franklin,OH,43219,40.044340000000005,-82.92141,8802.0,10613.0,12924.0,15219.0
JPMorgan Chase Bank,Pico Whittier Branch,01/01/1889,9125 East Whittier Boulevard,Pico Rivera,Los Angeles,CA,90660,34.00039,-118.08156000000001,93434.0,89864.0,91912.0,92860.0
JPMorgan Chase Bank,Detached Drive-In Facility Branch,11/13/1979,25025 Interstate 45 North Freeway,Spring,Montgomery,TX,77380,30.13594,-95.46871,0.0,0.0,0.0,0.0
JPMorgan Chase Bank,El Camino Real and Walnut Branch,01/01/1919,502 El Camino Real,Greenfield,Monterey,CA,93927,36.327,-121.24852,37860.0,40055.0,42044.0,43777.0
JPMorgan Chase Bank,North Figueroa St Branch,01/01/1889,5700 North Figueroa Street,Los Angeles,Los Angeles,CA,90042,34.10973,-118.19253,68084.0,210052.0,216158.0,232402.0
JPMorgan Chase Bank,Indian School and 33rd Avenue Branch,06/15/1964,3241 West Indian School Road,Phoenix,Maricopa,AZ,85017,33.49483,-112.12867,44441.0,52768.0,53056.0,53625.0
JPMorgan Chase Bank,Franklin 76th Street Branch,02/14/1990,7100 South 76th Street,Franklin,Milwaukee,WI,53132,42.91604,-88.00898000000001,56835.0,62106.0,68988.0,82588.0
JPMorgan Chase Bank,Queens Plaza Banking Center Branch,12/19/2005,25-15 Queens Plaza North,Long Island City,Queens,NY,11101,40.74568,-73.93861,32996.0,38922.0,50551.0,48367.0
JPMorgan Chase Bank,Wekiva Branch,11/13/2001,2111 E Semoran Blvd.,Apopka,Orange,FL,32703,28.673029999999997,-81.47072,26734.0,26996.0,31726.0,34037.0
JPMorgan Chase Bank,Speedway & Lynnhurst Branch,07/27/1959,5253 West Sixteenth Street,Indianapolis,Marion,IN,46224,39.78727,-86.25046,63607.0,65844.0,66696.0,66837.0
JPMorgan Chase Bank,Select Direct I Branch,08/01/1989,"1 Chase Manhattan Plaza, 33rd Floor",New York City,New York,NY,10005,40.70772,-74.01012,165.0,158.0,162.0,139.0
JPMorgan Chase Bank,Trenton & Mccoll Banking Ctr Branch,04/08/2008,4203 South Mccoll Road,Edinburg,Hidalgo,TX,78539,26.265890000000002,-98.20191,12472.0,14946.0,20180.0,26519.0
JPMorgan Chase Bank,Freeport Blvd Branch,01/01/1889,4701 Freeport Blvd,Sacramento,Sacramento,CA,95822,38.53217,-121.49466000000001,100576.0,96875.0,96571.0,96221.0
JPMorgan Chase Bank,Castle Hill Branch,12/11/1965,784 Castle Hill Avenue,Bronx,Bronx,NY,10473,40.82292,-73.84886999999999,75131.0,80172.0,82333.0,94538.0
JPMorgan Chase Bank,Zandale Branch,03/02/1964,2260 Nicholasville Road,Lexington,Fayette,KY,40503,38.00717,-84.51799999999999,53785.0,56823.0,60469.0,65954.0
JPMorgan Chase Bank,Allison Lane Branch,12/22/1972,2501 Allison Lane,Jeffersonville,Clark,IN,47130,38.31841,-85.70900999999999,42228.0,41485.0,44265.0,49430.0
JPMorgan Chase Bank,Marwood Banking Center Branch,11/30/1972,3451 Kentucky Avenue,Indianapolis,Marion,IN,46221,39.714890000000004,-86.23693,33646.0,34501.0,38628.0,39705.0
JPMorgan Chase Bank,South Salt Lake Branch,08/09/1982,2610 South State Street,Salt Lake City,Salt Lake,UT,84115,40.71402,-111.88833000000001,194595.0,148279.0,145309.0,177358.0
